continent,country,chart,url
Africa,Egypt,IFPI,https://en.wikipedia.org/wiki/IFPI
Africa,Nigeria,TurnTable Top,https://en.wikipedia.org/wiki/TurnTable_Top
Africa,Nigeria,TurnTable Top  100 chart,https://en.wikipedia.org/wiki/TurnTable_Top_100_Songs
Africa,Nigeria,TurnTable Top 100 Album,https://en.wikipedia.org/wiki/TurnTable_Top_100_Albums
Africa,North Africa,IFPI,https://en.wikipedia.org/wiki/IFPI
Africa,South Africa,The Official South African Charts,https://en.wikipedia.org/wiki/The_Official_South_African_Charts
Asia,China,China Top 100,https://en.wikipedia.org/wiki/Billboard_China_Top_100
Asia,China,China Airplay/FL,https://en.wikipedia.org/wiki/Billboard_China_Airplay/FL
Asia,China,Music Radio China Top Chart Awards,https://en.wikipedia.org/wiki/Music_Radio_China_Top_Chart_Awards
Asia,India,IMI International Top 20 Singles,https://en.wikipedia.org/wiki/IMI_International_Top_20_Singles
Asia,Indonesia,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Indonesia,Billboard IndonesiaTop 100,https://en.wikipedia.org/wiki/Billboard_Indonesia_Top_100
Asia,Israel,Media Forest,https://en.wikipedia.org/wiki/Media_Forest
Asia,Israel,Mako Hit List,https://en.wikipedia.org/wiki/Mako_Hit_List
Asia,Japan,Billboard JapanHot 100,https://en.wikipedia.org/wiki/Billboard_Japan_Hot_100
Asia,Japan,Billboard JapanHot Albums,https://en.wikipedia.org/wiki/Billboard_Japan_Hot_Albums
Asia,Japan,Oricon,https://en.wikipedia.org/wiki/Oricon
Asia,Japan,Oricon Combined Singles Chart,https://en.wikipedia.org/wiki/Oricon_Combined_Singles_Chart
Asia,Japan,Oricon Combined Albums Chart,https://en.wikipedia.org/wiki/Oricon_Combined_Albums_Chart
Asia,Japan,Oricon Singles Chart,https://en.wikipedia.org/wiki/Oricon_Singles_Chart
Asia,Japan,Oricon Albums Chart,https://en.wikipedia.org/wiki/Oricon_Albums_Chart
Asia,Malaysia,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Malaysia,RIM Charts,https://en.wikipedia.org/wiki/Recording_Industry_Association_of_Malaysia
Asia,Philippines,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Philippines,Official Philippines Chart,https://en.wikipedia.org/wiki/Official_Philippines_Chart
Asia,Philippines,Philippine Hot 100,https://en.wikipedia.org/wiki/Philippine_Hot_100
Asia,Philippines,Top Philippine Songs,https://en.wikipedia.org/wiki/Top_Philippine_Songs
Asia,Philippines,Philippine Top 20,https://en.wikipedia.org/wiki/Philippine_Top_20
Asia,Philippines,Catalog Chart,
Asia,Saudi Arabia,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Singapore,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Singapore,RIAS Top Charts,https://en.wikipedia.org/wiki/Recording_Industry_Association_Singapore
Asia,South Korea,Circle Chart,https://en.wikipedia.org/wiki/Circle_Chart
Asia,South Korea,Circle Digital Chart,https://en.wikipedia.org/wiki/Circle_Digital_Chart
Asia,South Korea,Circle Album Chart,https://en.wikipedia.org/wiki/Circle_Album_Chart
Asia,South Korea,Circle Social Chart,https://en.wikipedia.org/wiki/Circle_Social_Chart
Asia,South Korea,Melon Chart,https://en.wikipedia.org/wiki/Melon_(online_music_service)
Asia,Thailand,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Thailand,Thailand Top 100,https://en.wikipedia.org/wiki/Joox_Thailand_Top_100
Asia,United Arab Emirates,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Vietnam,IFPI,https://en.wikipedia.org/wiki/IFPI
Asia,Vietnam,Vietnam Hot 100,https://en.wikipedia.org/wiki/Billboard_Vietnam_Hot_100
Asia,Vietnam,Top Vietnamese Songs,https://en.wikipedia.org/wiki/Billboard_Vietnam_Hot_100#Billboard_Vietnam_Top_Vietnamese_Songs
Europe,Continental Europe,European Hot 100 Singles,https://en.wikipedia.org/wiki/European_Hot_100_Singles
Europe,Continental Europe,European Top 100 Albums,https://en.wikipedia.org/wiki/European_Top_100_Albums
Europe,Austria,Ö3 Austria Top 40,https://en.wikipedia.org/wiki/%C3%963_Austria_Top_40
Europe,Belgium,Ultratop,https://en.wikipedia.org/wiki/Ultratop
Europe,Belgium,Ultratop 50 Singles,
Europe,Belgium,Ultratop 200 Albums,
Europe,Bulgaria,PROPHON,https://en.wikipedia.org/wiki/PROPHON
Europe,Croatia,Croatian Airplay Radio Chart,https://en.wikipedia.org/wiki/Croatian_Airplay_Radio_Chart
Europe,Czech Republic,Rádio – Top 100,https://en.wikipedia.org/wiki/R%C3%A1dio_%E2%80%93_Top_100_(Czech_Republic)
Europe,Denmark,Hitlisten,https://en.wikipedia.org/wiki/Hitlisten
Europe,Finland,The Official Finnish Charts,https://en.wikipedia.org/wiki/The_Official_Finnish_Charts
Europe,France,Syndicat National de l'Édition Phonographique,https://en.wikipedia.org/wiki/Syndicat_National_de_l%27%C3%89dition_Phonographique
Europe,Germany,GfK Entertainment Charts,https://en.wikipedia.org/wiki/GfK_Entertainment_Charts
Europe,Greece,Greek IFPI singles and albums charts,https://en.wikipedia.org/wiki/IFPI_Greece
Europe,Greece,Billboard Greece,https://en.wikipedia.org/wiki/Billboard_Greece
Europe,Greece,Greek Airplay Charts,https://en.wikipedia.org/wiki/Billboard_Greek_Airplay
Europe,Hungary,Association of Hungarian Record Companies,https://en.wikipedia.org/wiki/Association_of_Hungarian_Record_Companies
Europe,Iceland,Félag hljómplötuframleiðenda,https://en.wikipedia.org/wiki/F%C3%A9lag_hlj%C3%B3mpl%C3%B6tuframlei%C3%B0enda
Europe,Iceland,Tónlistinn – Lög,https://en.wikipedia.org/wiki/T%C3%B3nlistinn_%E2%80%93_L%C3%B6g
Europe,Iceland,Tónlistinn – Plötur,https://en.wikipedia.org/wiki/T%C3%B3nlistinn_%E2%80%93_Pl%C3%B6tur
Europe,Ireland,Irish Recorded Music Association,https://en.wikipedia.org/wiki/Irish_Recorded_Music_Association
Europe,Ireland,Irish Singles Chart,https://en.wikipedia.org/wiki/Irish_Singles_Chart
Europe,Ireland,Irish Downloads Chart,https://en.wikipedia.org/wiki/Irish_Downloads_Chart
Europe,Ireland,Irish Albums Chart,https://en.wikipedia.org/wiki/Irish_Albums_Chart
Europe,Ireland,Irish Independent Albums Chart,https://en.wikipedia.org/wiki/Irish_Independent_Albums_Chart
Europe,Italy,Federazione Industria Musicale Italiana,https://en.wikipedia.org/wiki/Federazione_Industria_Musicale_Italiana
Europe,Netherlands,GfK Netherlands,https://en.wikipedia.org/wiki/Dutch_Charts
Europe,Netherlands,Single Top 100,https://en.wikipedia.org/wiki/Single_Top_100
Europe,Netherlands,Album Top 100,https://en.wikipedia.org/wiki/Album_Top_100
Europe,Norway,VG-lista,https://en.wikipedia.org/wiki/VG-lista
Europe,Poland,Polish Society of the Phonographic Industry,https://en.wikipedia.org/wiki/Polish_Society_of_the_Phonographic_Industry
Europe,Poland,Polish music charts,https://en.wikipedia.org/wiki/Polish_music_charts
Europe,Poland,OLiS,https://en.wikipedia.org/wiki/OLiS
Europe,Portugal,Top Oficial da AFP,https://en.wikipedia.org/wiki/Associa%C3%A7%C3%A3o_Fonogr%C3%A1fica_Portuguesa
Europe,Romania,Romanian record charts,https://en.wikipedia.org/wiki/Romanian_record_charts
Europe,Romania,Romanian Top 100 (1995-2012),
Europe,Slovakia,Rádio – Top 100,https://en.wikipedia.org/wiki/R%C3%A1dio_%E2%80%93_Top_100_(Slovakia)
Europe,Slovenia,SloTop50,https://en.wikipedia.org/wiki/SloTop50
Europe,Spain,Productores de Música de España,https://en.wikipedia.org/wiki/Productores_de_M%C3%BAsica_de_Espa%C3%B1a
Europe,Sweden,Sverigetopplistan,https://en.wikipedia.org/wiki/Sverigetopplistan
Europe,Sweden,Tio i Topp,https://en.wikipedia.org/wiki/Tio_i_Topp
Europe,Sweden,Svensktoppen,https://en.wikipedia.org/wiki/Svensktoppen
Europe,Switzerland,Swiss Hitparade,https://en.wikipedia.org/wiki/Swiss_Hitparade
Europe,Turkey,Billboard Türkiye,https://en.wikipedia.org/wiki/Billboard_T%C3%BCrkiye
Europe,Turkey,Türkçe Top 20,https://en.wikipedia.org/wiki/T%C3%BCrk%C3%A7e_Top_20
Europe,Turkey,Türkiye Top 20,https://en.wikipedia.org/wiki/T%C3%BCrkiye_Top_20
Europe,Turkey,Turkish Rock Top 20 Chart,https://en.wikipedia.org/wiki/Turkish_music_charts
Europe,United Kingdom,Official Charts Company,https://en.wikipedia.org/wiki/Official_Charts_Company
Europe,United Kingdom,UK Singles Chart,https://en.wikipedia.org/wiki/UK_Singles_Chart
Europe,United Kingdom,UK Singles Downloads Chart,https://en.wikipedia.org/wiki/UK_Singles_Downloads_Chart
Europe,United Kingdom,Official Audio Streaming Chart,https://en.wikipedia.org/wiki/Official_Audio_Streaming_Chart
Europe,United Kingdom,Official Vinyl Singles Chart,https://en.wikipedia.org/wiki/Official_Vinyl_Singles_Chart
Europe,United Kingdom,UK Albums Chart,https://en.wikipedia.org/wiki/UK_Albums_Chart
Europe,United Kingdom,UK Album Downloads Chart,https://en.wikipedia.org/wiki/UK_Album_Downloads_Chart
Europe,United Kingdom,Official Albums Streaming Chart,https://en.wikipedia.org/wiki/Official_Albums_Streaming_Chart
Europe,United Kingdom,Official Record Store Chart,https://en.wikipedia.org/wiki/Official_Record_Store_Chart
Europe,United Kingdom,Official Vinyl Albums Chart,https://en.wikipedia.org/wiki/Official_Vinyl_Albums_Chart
Europe,United Kingdom,UK Compilation Chart,https://en.wikipedia.org/wiki/UK_Compilation_Chart
Europe,United Kingdom,The Official Big Top 40 from Global,https://en.wikipedia.org/wiki/The_Official_Big_Top_40_from_Global
North America,Canada,Canadian Albums Chart,https://en.wikipedia.org/wiki/Canadian_Albums_Chart
North America,Canada,Canadian Hot 100,https://en.wikipedia.org/wiki/Canadian_Hot_100
North America,Canada,Canadian Singles Chart,https://en.wikipedia.org/wiki/Canadian_Singles_Chart
North America,Canada,RPM,https://en.wikipedia.org/wiki/RPM_(magazine)
North America,Canada,CHUM Chart,https://en.wikipedia.org/wiki/CHUM_Chart
North America,Mexico,Mexico Airplay,https://en.wikipedia.org/wiki/Mexico_Airplay
North America,Mexico,Monitor Latino,https://en.wikipedia.org/wiki/Monitor_Latino
North America,Mexico,Top 100 Mexico,https://en.wikipedia.org/wiki/Top_100_Mexico
North America,United States,Billboard,https://en.wikipedia.org/wiki/Billboard_(magazine)
North America,United States,Billboard charts,https://en.wikipedia.org/wiki/Billboard_charts
North America,United States,BillboardHot 100,https://en.wikipedia.org/wiki/Billboard_Hot_100
North America,United States,Billboard200,https://en.wikipedia.org/wiki/Billboard_200
North America,United States,Cash Box(magazine),https://en.wikipedia.org/wiki/Cashbox_(magazine)
North America,United States,Mediabase,https://en.wikipedia.org/wiki/Mediabase
North America,United States,Radio & Records,https://en.wikipedia.org/wiki/Radio_%26_Records
North America,United States,Rolling Stonecharts,https://en.wikipedia.org/wiki/Rolling_Stone_charts
North America,United States,JazzWeek,https://en.wikipedia.org/wiki/JazzWeek
Oceania,Australia,ARIA Charts,https://en.wikipedia.org/wiki/ARIA_Charts
Oceania,Australia,ARIA Digital Track Chart,https://en.wikipedia.org/wiki/ARIA_Digital_Track_Chart
Oceania,Australia,ARIA Digital Album Chart,https://en.wikipedia.org/wiki/ARIA_Digital_Album_Chart
Oceania,New Zealand,Recorded Music NZ,https://en.wikipedia.org/wiki/Recorded_Music_NZ
Oceania,New Zealand,Official New Zealand Music Chart,https://en.wikipedia.org/wiki/Official_New_Zealand_Music_Chart
South America,Argentina,BillboardArgentina Hot 100,https://en.wikipedia.org/wiki/Argentina_Hot_100
South America,Argentina,CAPIF charts,https://en.wikipedia.org/wiki/Argentine_Chamber_of_Phonograms_and_Videograms_Producers#CAPIF_Charts
South America,Brazil,BillboardBrasil Hot 100,https://en.wikipedia.org/wiki/Brasil_Hot_100
South America,Brazil,Crowley Charts,https://en.wikipedia.org/wiki/Crowley_Broadcast_Analysis#Charts
South America,Brazil,Top Álbuns Brasil,https://en.wikipedia.org/wiki/Top_%C3%81lbuns_Brasil
South America,Colombia,National-Report,https://en.wikipedia.org/wiki/National-Report
South America,Venezuela,Record Report,https://en.wikipedia.org/wiki/Record_Report
